#     	A                   	B                   	A+B                 
----------------------------------------------------------------------
1     	' '                 	't'                 	' t'                
1786  	' prom'             	'ise'               	' promise'          
1787  	' Th'               	'ank'               	' Thank'            
1788  	' feel'             	's'                 	' feels'            
1789  	'i'                 	'an'                	'ian'               
1790  	' Em'               	'ma'                	' Emma'             
1791  	'et'                	'er'                	'eter'              
1792  	' bre'              	'ad'                	' bread'            
1793  	' ne'               	'ck'                	' neck'             
1794  	'Fin'               	'ally'              	'Finally'           
1795  	' m'                	'ilk'               	' milk'             
1796  	' rob'              	'ot'                	' robot'            
1797  	' re'               	'c'                 	' rec'              
1798  	' sh'               	'y'                 	' shy'              
1799  	'ount'              	'ain'               	'ountain'           
1800  	' k'                	'iss'               	' kiss'             
1801  	'ir'                	't'                 	'irt'               
1802  	' hear'             	't'                 	' heart'            
1803  	' b'                	'and'               	' band'             
1804  	' c'                	'ave'               	' cave'             
1805  	' po'               	'cket'              	' pocket'           
1806  	'u'                 	'b'                 	'ub'                
1807  	' help'             	'ful'               	' helpful'          
1808  	'g'                 	'ly'                	'gly'               
1809  	' slow'             	'ly'                	' slowly'           
1810  	' belie'            	've'                	' believe'          
1811  	' sh'               	'ake'               	' shake'            
1812  	'ump'               	'y'                 	'umpy'              
1813  	'e'                 	'ared'              	'eared'             
1814  	' pat'              	'ient'              	' patient'          
1815  	' p'                	'op'                	' pop'              
1816  	' o'                	'b'                 	' ob'               
1817  	'ar'                	'p'                 	'arp'               
1818  	' li'               	've'                	' live'             
1819  	' stor'             	'm'                 	' storm'            
1820  	' hold'             	'ing'               	' holding'          
1821  	' u'                	'gly'               	' ugly'             
1822  	' tow'              	'ards'              	' towards'          
1823  	' up'               	'set'               	' upset'            
1824  	' t'                	'urt'               	' turt'             
1825  	' sh'               	'r'                 	' shr'              
1826  	'ad'                	'ow'                	'adow'              
1827  	' co'               	'ver'               	' cover'            
1828  	' k'                	'itten'             	' kitten'           
1829  	'o'                 	'st'                	'ost'               
1830  	' R'                	'emy'               	' Remy'             
1831  	' sh'               	'arp'               	' sharp'            
1832  	' dis'              	'app'               	' disapp'           
1833  	' stor'             	'ies'               	' stories'          
1834  	' s'                	'uc'                	' suc'              
1835  	' h'                	'oney'              	' honey'            
1836  	'o'                 	've'                	'ove'               
1837  	' B'                	'ella'              	' Bella'            
1838  	're'                	'ad'                	'read'              
1839  	' no'               	'ises'              	' noises'           
1840  	' L'                	'e'                 	' Le'               
1841  	' c'                	'ir'                	' cir'              
1842  	' ball'             	's'                 	' balls'            
1843  	' sp'               	'ark'               	' spark'            
1844  	' gr'               	'ay'                	' gray'             
1845  	' d'                	'ist'               	' dist'             
1846  	' dir'              	't'                 	' dirt'             
1847  	'og'                	'gy'                	'oggy'              
1848  	' l'                	'ate'               	' late'             
1849  	' dri'              	'ver'               	' driver'           
1850  	' se'               	'at'                	' seat'             
1851  	' buck'             	'et'                	' bucket'           
1852  	' me'               	'et'                	' meet'             
1853  	' you'              	'ng'                	' young'            
1854  	' amaz'             	'ed'                	' amazed'           
1855  	' turt'             	'le'                	' turtle'           
1856  	'al'                	'm'                 	'alm'               
1857  	' sp'               	'id'                	' spid'             
1858  	' treat'            	's'                 	' treats'           
1859  	' magic'            	'al'                	' magical'          
1860  	'u'                 	'nt'                	'unt'               
1861  	'at'                	'or'                	'ator'              
1862  	' gl'               	'ow'                	' glow'             
1863  	' see'              	'k'                 	' seek'             
1864  	' z'                	'oom'               	' zoom'             
1865  	' le'               	'm'                 	' lem'              
1866  	' sand'             	'w'                 	' sandw'            
1867  	'fort'              	'able'              	'fortable'          
1868  	'um'                	'ber'               	'umber'             
1869  	' tri'              	'p'                 	' trip'             
1870  	' m'                	'ist'               	' mist'             
1871  	'our'               	'n'                 	'ourn'              
1872  	' spl'              	'as'                	' splas'            
1873  	' m'                	'ark'               	' mark'             
1874  	' j'                	'ourn'              	' journ'            
1875  	' fo'               	'ld'                	' fold'             
1876  	' m'                	'ach'               	' mach'             
1877  	' pu'               	'zz'                	' puzz'             
1878  	' par'              	't'                 	' part'             
1879  	'l'                 	'ing'               	'ling'              
1880  	' hor'              	'se'                	' horse'            
1881  	' or'               	'gan'               	' organ'            
1882  	' w'                	'ild'               	' wild'             
1883  	' prin'             	'cess'              	' princess'         
1884  	'pp'                	'ing'               	'pping'             
1885  	'oo'                	'se'                	'oose'              
1886  	' cook'             	'ie'                	' cookie'           
1887  	'S'                 	'ure'               	'Sure'              
1888  	'en'                	's'                 	'ens'               
1889  	' hug'              	's'                 	' hugs'             
1890  	' M'                	'ark'               	' Mark'             
1891  	' t'                	'aking'             	' taking'           
1892  	'un'                	'g'                 	'ung'               
1893  	' whe'              	'el'                	' wheel'            
1894  	'ep'                	'end'               	'epend'             
1895  	' cl'               	'oth'               	' cloth'            
1896  	' L'                	'isa'               	' Lisa'             
1897  	' s'                	'ug'                	' sug'              
1898  	' in'               	'stead'             	' instead'          
1899  	' bu'               	'bb'                	' bubb'             
1900  	' str'              	'ing'               	' string'           
1901  	' n'                	'et'                	' net'              
1902  	' dro'              	've'                	' drove'            
1903  	'il'                	'ing'               	'iling'             
1904  	' ru'               	'de'                	' rude'             
1905  	' hug'              	'e'                 	' huge'             
1906  	' J'                	'im'                	' Jim'              
1907  	' co'               	'in'                	' coin'             
1908  	' star'             	's'                 	' stars'            
1909  	' fight'            	'ing'               	' fighting'         
1910  	'B'                 	'e'                 	'Be'                
1911  	' sp'               	'icy'               	' spicy'            
1912  	' l'                	'ucky'              	' lucky'            
1913  	'O'                 	'f'                 	'Of'                
1914  	' cra'              	'w'                 	' craw'             
1915  	'He'                	'y'                 	'Hey'               
1916  	' b'                	'one'               	' bone'             
1917  	' in'               	'v'                 	' inv'              
1918  	' Gra'              	'ndma'              	' Grandma'          
1919  	'or'                	's'                 	'ors'               
1920  	'n'                 	'ot'                	'not'               
1921  	' c'                	'a'                 	' ca'               
1922  	'pp'                	'er'                	'pper'              
1923  	' for'              	'get'               	' forget'           
1924  	'u'                 	'p'                 	'up'                
1925  	' d'                	'i'                 	' di'               
1926  	'a'                 	'ur'                	'aur'               
1927  	' sa'               	'l'                 	' sal'              
1928  	' Fin'              	'ally'              	' Finally'          
1929  	' can'              	'not'               	' cannot'           
1930  	' whist'            	'le'                	' whistle'          
1931  	' c'                	'ard'               	' card'             
1932  	' s'                	'ick'               	' sick'             
1933  	' p'                	'ath'               	' path'             
1934  	' c'                	'ou'                	' cou'              
1935  	' spid'             	'er'                	' spider'           
1936  	' w'                	'ide'               	' wide'             
1937  	'L'                 	'ila'               	'Lila'              
1938  	' fo'               	'ot'                	' foot'             
1939  	' snow'             	'man'               	' snowman'          
1940  	' song'             	's'                 	' songs'            
1941  	' li'               	'fe'                	' life'             
1942  	' pill'             	'ow'                	' pillow'           
1943  	'iz'                	'e'                 	'ize'               
1944  	'ul'                	'ar'                	'ular'              
1945  	' J'                	'ust'               	' Just'             
1946  	'L'                 	'ater'              	'Later'             
1947  	'e'                 	'st'                	'est'               
1948  	' A'                	'nn'                	' Ann'              
1949  	'er'                	't'                 	'ert'               
1950  	' fix'              	'ed'                	' fixed'            
1951  	' gi'               	'ant'               	' giant'            
1952  	'op'                	'h'                 	'oph'               
1953  	'ri'                	'll'                	'rill'              
1954  	' no'               	'd'                 	' nod'              
1955  	' bo'               	'ss'                	' boss'             
1956  	' la'               	'st'                	' last'             
1957  	' com'              	'es'                	' comes'            
1958  	' jo'               	'ke'                	' joke'             
1959  	' mo'               	'on'                	' moon'             
1960  	' tast'             	'e'                 	' taste'            
1961  	'd'                 	'en'                	'den'               
1962  	' mach'             	'ine'               	' machine'          
1963  	' gr'               	'umpy'              	' grumpy'           
1964  	' wa'               	've'                	' wave'             
1965  	' th'               	'in'                	' thin'             
1966  	' dri'              	've'                	' drive'            
1967  	' car'              	't'                 	' cart'             
1968  	' as'               	'h'                 	' ash'              
1969  	' s'                	'er'                	' ser'              
1970  	' gra'              	'b'                 	' grab'             
1971  	' pe'               	'ace'               	' peace'            
1972  	'l'                 	'ower'              	'lower'             
1973  	' dad'              	'dy'                	' daddy'            
1974  	' '                 	'On'                	' On'               
1975  	' Le'               	'o'                 	' Leo'              
1976  	'er'                	'y'                 	'ery'               
1977  	' s'                	'el'                	' sel'              
1978  	' she'              	'lf'                	' shelf'            
1979  	' hid'              	'den'               	' hidden'           
1980  	'ere'               	'st'                	'erest'             
1981  	' s'                	'uddenly'           	' suddenly'         
1982  	' was'              	'n'                 	' wasn'             
1983  	' wr'               	'ite'               	' write'            
1984  	' land'             	'ed'                	' landed'           
1985  	' con'              	'fused'             	' confused'         
1986  	' r'                	'ing'               	' ring'             
1987  	' ch'               	'ange'              	' change'           
1988  	' wor'              	'm'                 	' worm'             
1989  	' int'              	'erest'             	' interest'         
1990  	' ch'               	'ased'              	' chased'           
1991  	'oo'                	'p'                 	'oop'               
1992  	' fruit'            	's'                 	' fruits'           
1993  	' s'                	'our'               	' sour'             
1994  	'it'                	'y'                 	'ity'               
1995  	' my'               	'ster'              	' myster'           
1996  	' b'                	'ark'               	' bark'             
1997  	' r'                	'ad'                	' rad'              
1998  	' smo'              	'oth'               	' smooth'           
1999  	' C'                	'ome'               	' Come'             
2000  	' adventure'        	's'                 	' adventures'       
2001  	' v'                	'al'                	' val'              
2002  	' ste'              	'pped'              	' stepped'          
2003  	' f'                	'le'                	' fle'              
2004  	'op'                	'e'                 	'ope'               
2005  	' o'                	'ven'               	' oven'             
2006  	' take'             	's'                 	' takes'            
2007  	' miss'             	'ed'                	' missed'           
2008  	' sel'              	'fish'              	' selfish'          
2009  	'k'                 	'in'                	'kin'               
2010  	' she'              	'ep'                	' sheep'            
2011  	' mess'             	'y'                 	' messy'            
2012  	'T'                 	'o'                 	'To'                
2013  	' ac'               	'ross'              	' across'           
2014  	' '                 	'ent'               	' ent'              
2015  	' ex'               	'p'                 	' exp'              
2016  	't'                 	'o'                 	'to'                
2017  	' c'                	'e'                 	' ce'               
2018  	' l'                	'ater'              	' later'            
2019  	'ell'               	'y'                 	'elly'              
2020  	' '                 	'N'                 	' N'                
2021  	'if'                	'e'                 	'ife'               
2022  	' stick'            	's'                 	' sticks'           
2023  	' t'                	'ie'                	' tie'              
2024  	'S'                 	't'                 	'St'                
2025  	'e'                 	'ver'               	'ever'              
2026  	' L'                	'una'               	' Luna'             
2027  	' st'               	'ep'                	' step'             
2028  	' b'                	'ought'             	' bought'           
2029  	' d'                	'rew'               	' drew'             
2030  	' te'               	'a'                 	' tea'              
2031  	'pec'               	't'                 	'pect'              
2032  	' b'                	'an'                	' ban'              
2033  	'irp'               	'y'                 	'irpy'              
2034  	'bo'                	'x'                 	'box'               
2035  	'?'                 	'”'                 	'?”'                
2036  	' was'              	'h'                 	' wash'             
2037  	' l'                	'ay'                	' lay'              
2038  	' p'                	'our'               	' pour'             
2039  	' be'               	'ak'                	' beak'             
2040  	'o'                 	'se'                	'ose'               
2041  	' j'                	'og'                	' jog'              
2042  	' gr'               	'ate'               	' grate'            
2043  	' duck'             	's'                 	' ducks'            
2044  	' sp'               	'e'                 	' spe'              
2045  	' leg'              	's'                 	' legs'             
2046  	'ug'                	'g'                 	'ugg'               
2047  	' f'                	'il'                	' fil'              
2048  	' B'                	'u'                 	' Bu'               
2049  	' em'               	'p'                 	' emp'              
2050  	'm'                 	'er'                	'mer'               
2051  	' hop'              	'e'                 	' hope'             
2052  	' emp'              	'ty'                	' empty'            
2053  	' sl'               	'id'                	' slid'             
2054  	' fe'               	'ather'             	' feather'          
2055  	' sleep'            	'y'                 	' sleepy'           
2056  	' dr'               	'um'                	' drum'             
2057  	'am'                	'ed'                	'amed'              
2058  	'ar'                	's'                 	'ars'               
2059  	'et'                	'h'                 	'eth'               
2060  	' z'                	'oo'                	' zoo'              
2061  	' p'                	'an'                	' pan'              
2062  	' ph'               	'one'               	' phone'            
2063  	' grate'            	'ful'               	' grateful'         
2064  	' f'                	'ing'               	' fing'             
2065  	'ion'               	's'                 	'ions'              
2066  	' lem'              	'on'                	' lemon'            
2067  	'le'                	't'                 	'let'               
2068  	' C'                	'at'                	' Cat'              
2069  	' cle'              	'ver'               	' clever'           
2070  	' M'                	'olly'              	' Molly'            
2071  	' smell'            	'y'                 	' smelly'           
2072  	' im'               	'ag'                	' imag'             
2073  	' spl'              	'ash'               	' splash'           
2074  	' interest'         	'ing'               	' interesting'      
2075  	' J'                	'ill'               	' Jill'             
2076  	' sa'               	've'                	' save'             
2077  	' ch'               	'ick'               	' chick'            
2078  	' c'                	'alm'               	' calm'             
2079  	' m'                	'ed'                	' med'              
2080  	' watch'            	'ing'               	' watching'         
2081  	'S'                 	'oon'               	'Soon'              
2082  	'iz'                	'zy'                	'izzy'              
2083  	'iz'                	'z'                 	'izz'               
2084  	' pl'               	'ate'               	' plate'            
2085  	' '                 	'ign'               	' ign'              
2086  	'y'                 	'ard'               	'yard'              
2087  	' cloud'            	's'                 	' clouds'           
2088  	' ban'              	'an'                	' banan'            
2089  	' l'                	'ine'               	' line'             
2090  	' face'             	's'                 	' faces'            
2091  	' b'                	'a'                 	' ba'               
2092  	' a'                	'ct'                	' act'              
2093  	' li'               	'ft'                	' lift'             
2094  	' th'               	'ough'              	' though'           
2095  	' wo'               	'lf'                	' wolf'             
2096  	' back'             	'yard'              	' backyard'         
2097  	'w'                 	'el'                	'wel'               
2098  	' seem'             	'ed'                	' seemed'           
2099  	' dog'              	's'                 	' dogs'             
2100  	' spr'              	'ay'                	' spray'            
2101  	'C'                 	'ome'               	'Come'              
2102  	' pr'               	'ot'                	' prot'             
2103  	' who'              	'le'                	' whole'            
2104  	' m'                	'ot'                	' mot'              
2105  	' fan'              	'cy'                	' fancy'            
2106  	' Dad'              	'dy'                	' Daddy'            
2107  	' que'              	'st'                	' quest'            
2108  	' arm'              	's'                 	' arms'             
2109  	' puzz'             	'le'                	' puzzle'           
2110  	' he'               	'althy'             	' healthy'          
2111  	' su'               	'pp'                	' supp'             
2112  	'w'                 	'ard'               	'ward'              
2113  	' fin'              	'ish'               	' finish'           
2114  	'er'                	'ly'                	'erly'              
2115  	' al'               	'ong'               	' along'            
2116  	'll'                	'o'                 	'llo'               
2117  	' rock'             	'et'                	' rocket'           
2118  	' expl'             	'ain'               	' explain'          
2119  	'd'                 	'ge'                	'dge'               
2120  	' eas'              	'y'                 	' easy'             
2121  	' je'               	'wel'               	' jewel'            
2122  	'on'                	't'                 	'ont'               
2123  	' p'                	'ract'              	' pract'            
2124  	' j'                	'elly'              	' jelly'            
2125  	' Ch'               	'irpy'              	' Chirpy'           
2126  	' t'                	'id'                	' tid'              
2127  	' f'                	'ake'               	' fake'             
2128  	' cray'             	'ons'               	' crayons'          
2129  	' wonder'           	'ed'                	' wondered'         
2130  	' m'                	'aybe'              	' maybe'            
2131  	' sc'               	'ar'                	' scar'             
2132  	' sh'               	'ip'                	' ship'             
2133  	' not'              	'hing'              	' nothing'          
2134  	'one'               	'st'                	'onest'             
2135  	' em'               	'b'                 	' emb'              
2136  	'ig'                	'er'                	'iger'              
2137  	' p'                	'ool'               	' pool'             
2138  	' long'             	'er'                	' longer'           
2139  	' any'              	'one'               	' anyone'           
2140  	' B'                	'e'                 	' Be'               
2141  	' J'                	'erry'              	' Jerry'            
2142  	'u'                 	'ally'              	'ually'             
2143  	' fr'               	'ont'               	' front'            
2144  	' wor'              	'king'              	' working'          
2145  	' give'             	's'                 	' gives'            
2146  	'ir'                	'r'                 	'irr'               
2147  	' p'                	'ack'               	' pack'             
2148  	' s'                	'uch'               	' such'             
2149  	' B'                	'unny'              	' Bunny'            
2150  	'o'                 	'cked'              	'ocked'             
2151  	'm'                 	'ent'               	'ment'              
2152  	' boss'             	'y'                 	' bossy'            
2153  	' D'                	'oggy'              	' Doggy'            
2154  	' trou'             	'ble'               	' trouble'          
2155  	' smell'            	'ed'                	' smelled'          
2156  	' sa'               	'ved'               	' saved'            
2157  	' p'                	'in'                	' pin'              
2158  	'ra'                	'ss'                	'rass'              
2159  	' ne'               	'igh'               	' neigh'            
2160  	'ar'                	'rass'              	'arrass'            
2161  	'it'                	'ing'               	'iting'             
2162  	' h'                	'onest'             	' honest'           
2163  	' a'                	'v'                 	' av'               
2164  	'ar'                	'ge'                	'arge'              
2165  	' emb'              	'arrass'            	' embarrass'        
2166  	' v'                	'an'                	' van'              
2167  	' forg'             	'ive'               	' forgive'          
2168  	' tid'              	'y'                 	' tidy'             
2169  	' we'               	'ak'                	' weak'             
2170  	'ur'                	'se'                	'urse'              
2171  	' put'              	's'                 	' puts'             
2172  	'un'                	'k'                 	'unk'               
2173  	' k'                	'ick'               	' kick'             
2174  	' sh'               	'irt'               	' shirt'            
2175  	' W'                	'ith'               	' With'             
2176  	' m'                	'ind'               	' mind'             
2177  	' O'                	'llie'              	' Ollie'            
2178  	' neigh'            	'b'                 	' neighb'           
2179  	' plant'            	's'                 	' plants'           
2180  	' so'               	'l'                 	' sol'              
2181  	' Mom'              	'o'                 	' Momo'             
2182  	' gent'             	'ly'                	' gently'           
2183  	' co'               	'zy'                	' cozy'             
2184  	'or'                	'row'               	'orrow'             
2185  	'm'                 	'ing'               	'ming'              
2186  	' expl'             	'or'                	' explor'           
2187  	's'                 	'p'                 	'sp'                
2188  	' mist'             	'ake'               	' mistake'          
2189  	' y'                	'og'                	' yog'              
2190  	'o'                 	'c'                 	'oc'                
2191  	'oom'               	'y'                 	'oomy'              
2192  	' poin'             	'ted'               	' pointed'          
2193  	' l'                	'ad'                	' lad'              
2194  	' a'                	'f'                 	' af'               
2195  	' st'               	'ood'               	' stood'            
2196  	'or'                	'k'                 	'ork'               
2197  	' on'               	'to'                	' onto'             
2198  	' wait'             	'ing'               	' waiting'          
2199  	' jump'             	'ing'               	' jumping'          
2200  	' prin'             	'ce'                	' prince'           
2201  	' c'                	'ross'              	' cross'            
2202  	' lo'               	'ck'                	' lock'             
2203  	' che'              	'er'                	' cheer'            
2204  	' que'              	'en'                	' queen'            
2205  	' Wh'               	'y'                 	' Why'              
2206  	' M'                	'ary'               	' Mary'             
2207  	' w'                	'ing'               	' wing'             
2208  	'on'                	'es'                	'ones'              
2209  	'w'                 	'e'                 	'we'                
2210  	' l'                	'arge'              	' large'            
2211  	' love'             	'ly'                	' lovely'           
2212  	'ul'                	't'                 	'ult'               
2213  	' s'                	'ur'                	' sur'              
2214  	' re'               	't'                 	' ret'              
2215  	'A'                 	'nd'                	'And'               
2216  	' de'               	'er'                	' deer'             
2217  	' che'              	'w'                 	' chew'             
2218  	' cou'              	'ch'                	' couch'            
2219  	' b'                	'al'                	' bal'              
2220  	'aught'             	'er'                	'aughter'           
2221  	' st'               	'ret'               	' stret'            
2222  	'er'                	'a'                 	'era'               
2223  	' The'              	'ir'                	' Their'            
2224  	' place'            	's'                 	' places'           
2225  	' M'                	'y'                 	' My'               
2226  	' lad'              	'der'               	' ladder'           
2227  	'oo'                	'f'                 	'oof'               
2228  	' ret'              	'urn'               	' return'           
2229  	'ra'                	'id'                	'raid'              
2230  	' ant'              	's'                 	' ants'             
2231  	' d'                	'ish'               	' dish'             
2232  	' af'               	'raid'              	' afraid'           
2233  	' clean'            	'ed'                	' cleaned'          
2234  	' tom'              	'orrow'             	' tomorrow'         
2235  	' build'            	'ing'               	' building'         
2236  	' sandw'            	'ich'               	' sandwich'         
2237  	' pers'             	'on'                	' person'           
2238  	'S'                 	'ally'              	'Sally'             
2239  	'n'                 	'ed'                	'ned'               
2240  	' pretend'          	'ed'                	' pretended'        
2241  	' boun'             	'ce'                	' bounce'           
2242  	' w'                	'ip'                	' wip'              
2243  	'ge'                	'st'                	'gest'              
2244  	' mat'              	'ch'                	' match'            
2245  	' ri'               	'ch'                	' rich'             
2246  	'u'                 	'ce'                	'uce'               
2247  	' p'                	'izz'               	' pizz'             
2248  	' g'                	'ather'             	' gather'           
2249  	' sear'             	'ch'                	' search'           
2250  	' bor'              	'ing'               	' boring'           
2251  	'om'                	'an'                	'oman'              
2252  	' S'                	'omet'              	' Somet'            
2253  	' te'               	'eth'               	' teeth'            
2254  	' h'                	'um'                	' hum'              
2255  	'K'                 	'itty'              	'Kitty'             
2256  	'M'                 	'y'                 	'My'                
2257  	'ac'                	'ed'                	'aced'              
2258  	' d'                	'aughter'           	' daughter'         
2259  	' w'                	'oman'              	' woman'            
2260  	' scar'             	'f'                 	' scarf'            
2261  	' go'               	'es'                	' goes'             
2262  	' To'               	'gether'            	' Together'         
2263  	' la'               	'w'                 	' law'              
2264  	' st'               	'ra'                	' stra'             
2265  	' swim'             	'ming'              	' swimming'         
2266  	' fur'              	'ry'                	' furry'            
2267  	' splas'            	'hed'               	' splashed'         
2268  	' p'                	'ri'                	' pri'              
2269  	' love'             	's'                 	' loves'            
2270  	' tr'               	'ue'                	' true'             
2271  	' scream'           	'ed'                	' screamed'         
2272  	' la'               	'zy'                	' lazy'             
2273  	' g'                	'en'                	' gen'              
2274  	' answ'             	'er'                	' answer'           
2275  	' n'                	'umber'             	' number'           
2276  	' e'                	'ag'                	' eag'              
2277  	' ash'              	'amed'              	' ashamed'          
2278  	' pizz'             	'a'                 	' pizza'            
2279  	'a'                 	'w'                 	'aw'                
2280  	' app'              	'eared'             	' appeared'         
2281  	' fe'               	'ar'                	' fear'             
2282  	' near'             	'by'                	' nearby'           
2283  	' power'            	'ful'               	' powerful'         
2284  	' fl'               	'ag'                	' flag'             
2285  	' S'                	't'                 	' St'               
2286  	' ha'               	'ng'                	' hang'             
2287  	'v'                 	'ous'               	'vous'              
2288  	' cl'               	'own'               	' clown'            
2289  	'e'                 	'k'                 	'ek'                
2290  	' ch'               	'ase'               	' chase'            
2291  	' mot'              	'or'                	' motor'            
2292  	' wa'               	'nd'                	' wand'             
2293  	' T'                	'V'                 	' TV'               
2294  	' ru'               	'b'                 	' rub'              
2295  	' suc'              	'cess'              	' success'          
2296  	' cho'              	'col'               	' chocol'           
2297  	' I'                	'f'                 	' If'               
2298  	' creat'            	'ive'               	' creative'         
2299  	' tr'               	'ust'               	' trust'            
2300  	' we'               	'aring'             	' wearing'          
2301  	' no'               	'isy'               	' noisy'            
2302  	' mat'              	'ter'               	' matter'           
2303  	'p'                 	'a'                 	'pa'                
2304  	' d'                	'ig'                	' dig'              
2305  	' he'               	'llo'               	' hello'            
2306  	' n'                	'er'                	' ner'              
2307  	' too'              	'l'                 	' tool'             
2308  	' sa'               	'f'                 	' saf'              
2309  	' B'                	'ird'               	' Bird'             
2310  	'ad'                	'o'                 	'ado'               
2311  	' ner'              	'vous'              	' nervous'          
2312  	'el'                	'p'                 	'elp'               
2313  	' te'               	'st'                	' test'             
2314  	' sm'               	'iling'             	' smiling'          
2315  	' so'               	'ld'                	' sold'             
2316  	'ic'                	'ked'               	'icked'             
2317  	'o'                 	'ppy'               	'oppy'              
2318  	'os'                	'aur'               	'osaur'             
2319  	' cir'              	'cle'               	' circle'           
2320  	'm'                 	'b'                 	'mb'                
2321  	' m'                	'ap'                	' map'              
2322  	' dr'               	'ank'               	' drank'            
2323  	' cla'              	'ss'                	' class'            
2324  	' tri'              	'es'                	' tries'            
2325  	' chocol'           	'ate'               	' chocolate'        
2326  	' P'                	'lease'             	' Please'           
2327  	' imp'              	'ress'              	' impress'          
2328  	' kne'              	'e'                 	' knee'             
2329  	' gen'              	'er'                	' gener'            
2330  	' din'              	'osaur'             	' dinosaur'         
2331  	' pol'              	'ite'               	' polite'           
2332  	' m'                	'irr'               	' mirr'             
2333  	' Bob'              	'by'                	' Bobby'            
2334  	' T'                	'iny'               	' Tiny'             
2335  	' balloon'          	's'                 	' balloons'         
2336  	' go'               	'ld'                	' gold'             
2337  	' r'                	'are'               	' rare'             
2338  	' prot'             	'ect'               	' protect'          
2339  	' c'                	'and'               	' cand'             
2340  	'St'                	'op'                	'Stop'              
2341  	' car'              	'ried'              	' carried'          
2342  	' G'                	'o'                 	' Go'               
2343  	'ens'               	'ive'               	'ensive'            
2344  	' a'                	'p'                 	' ap'               
2345  	' sh'               	'adow'              	' shadow'           
2346  	' mirr'             	'or'                	' mirror'           
2347  	' D'                	'on'                	' Don'              
2348  	' ba'               	'ld'                	' bald'             
2349  	' g'                	'un'                	' gun'              
2350  	'in'                	'a'                 	'ina'               
2351  	' exp'              	'ensive'            	' expensive'        
2352  	' re'               	'g'                 	' reg'              
2353  	'if'                	'f'                 	'iff'               
2354  	' myster'           	'ious'              	' mysterious'       
2355  	' S'                	'p'                 	' Sp'               
2356  	' p'                	'ump'               	' pump'             
2357  	' not'              	'e'                 	' note'             
2358  	' her'              	'o'                 	' hero'             
2359  	' mar'              	'ch'                	' march'            
2360  	' h'                	'ar'                	' har'              
2361  	'ar'                	'l'                 	'arl'               
2362  	' '                 	'icy'               	' icy'              
2363  	' res'              	'pect'              	' respect'          
2364  	' we'               	'ird'               	' weird'            
2365  	' sn'               	'ee'                	' snee'             
2366  	' c'                	'ri'                	' cri'              
2367  	' g'                	'ate'               	' gate'             
2368  	' so'               	'ap'                	' soap'             
2369  	'ra'                	'g'                 	'rag'               
2370  	'ut'                	'e'                 	'ute'               
2371  	'iss'               	'ors'               	'issors'            
2372  	' the'              	'se'                	' these'            
2373  	' po'               	'or'                	' poor'             
2374  	' tow'              	'el'                	' towel'            
2375  	' wh'               	'ale'               	' whale'            
2376  	' fe'               	'et'                	' feet'             
2377  	' t'                	'ape'               	' tape'             
2378  	' d'                	'izzy'              	' dizzy'            
2379  	'itt'               	'er'                	'itter'             
2380  	' gener'            	'ous'               	' generous'         
2381  	'nd'                	'pa'                	'ndpa'              
2382  	' pre'              	's'                 	' pres'             
2383  	' Ben'              	'ny'                	' Benny'            
2384  	'n'                 	'ic'                	'nic'               
2385  	' dis'              	'co'                	' disco'            
2386  	'H'                 	'elp'               	'Help'              
2387  	'vent'              	'ually'             	'ventually'         
2388  	' pic'              	'nic'               	' picnic'           
2389  	' m'                	'ic'                	' mic'              
2390  	' le'               	'ad'                	' lead'             
2391  	' s'                	'que'               	' sque'             
2392  	' embarrass'        	'ed'                	' embarrassed'      
2393  	' journ'            	'ey'                	' journey'          
2394  	' sug'              	'ar'                	' sugar'            
2395  	'is'                	'p'                 	'isp'               
2396  	'sc'                	'ape'               	'scape'             
2397  	' bo'               	'ot'                	' boot'             
2398  	' t'                	'ent'               	' tent'             
2399  	' peace'            	'ful'               	' peaceful'         
2400  	' f'                	'at'                	' fat'              
2401  	' B'                	'ear'               	' Bear'             
2402  	' sc'               	'issors'            	' scissors'         
2403  	' tast'             	'ed'                	' tasted'           
2404  	' yell'             	'ed'                	' yelled'           
2405  	'Tom'               	'my'                	'Tommy'             
2406  	' t'                	'ick'               	' tick'             
2407  	' m'                	'el'                	' mel'              
2408  	' br'               	'ush'               	' brush'            
2409  	' danc'             	'ing'               	' dancing'          
2410  	'n'                 	'ess'               	'ness'              
2411  	' gl'               	'ue'                	' glue'             
2412  	' h'                	'ur'                	' hur'              
2413  	' r'                	'ough'              	' rough'            
2414  	' cl'               	'ap'                	' clap'             
2415  	' br'               	'idge'              	' bridge'           
2416  	'ot'                	'e'                 	'ote'               
2417  	' dec'              	'or'                	' decor'            
2418  	' clos'             	'et'                	' closet'           
2419  	' cr'               	'own'               	' crown'            
2420  	' st'               	'ir'                	' stir'             
2421  	'u'                 	'al'                	'ual'               
2422  	'im'                	'p'                 	'imp'               
2423  	' prin'             	't'                 	' print'            
2424  	' Somet'            	'imes'              	' Sometimes'        
2425  	'ow'                	'ed'                	'owed'              
2426  	'air'               	's'                 	'airs'              
2427  	' H'                	'ow'                	' How'              
2428  	'um'                	'e'                 	'ume'               
